id,mean_cc_gain,mean_cross_gain,mean_snr_power,zone,model
114,1.5301656390590213,3.4683731083986626,0.04455290667442234,ablation,01_ablation_horizontal
46,1.5796635998021251,2.663675121633941,1.1212323325528823,ablation,01_ablation_horizontal
19,1.5065693999781338,4.779210313240333,0.3647199338444468,ablation,01_ablation_horizontal
37,1.592750624993959,6.391721094054414,8.50837027277792,ablation,01_ablation_horizontal
65,1.4803611566607846,3.8959437185768437,0.8310169501774138,ablation,01_ablation_horizontal
62,1.83227949352504,2.4157056972873394,0.7527870241742407,ablation,01_ablation_horizontal
97,1.4456257905880867,3.3712575984501267,5.087405802048833,ablation,01_ablation_horizontal
0,1.6097959618297346,3.3130189106200723,1.0602588880631425,ablation,01_ablation_horizontal
79,1.5723517353233596,3.2180812787496365,0.11044738993852057,ablation,01_ablation_horizontal
12,1.4646272119760968,6.490106241174568,0.24658921317975166,ablation,01_ablation_horizontal
99,1.3144531517916422,3.992118395970654,0.6100869199167751,ablation,01_ablation_horizontal
21,1.4744602055726592,2.9866798668709085,1.1597696426093362,ablation,01_ablation_horizontal
112,1.7860712284495357,2.8721367112269336,0.6125209057441868,ablation,01_ablation_horizontal
67,1.8013265372300435,3.7295779886985616,1.1941065876235801,ablation,01_ablation_horizontal
113,1.5970110857947049,5.700979416574215,0.07152738980414809,ablation,01_ablation_horizontal
55,1.773838422017601,4.654887366533735,0.9962902058140473,ablation,01_ablation_horizontal
49,1.6299345643622432,3.759515569164559,0.3328070781635051,ablation,01_ablation_horizontal
77,1.7720768446808113,3.3142407302995283,0.41703410761391824,ablation,01_ablation_horizontal
101,1.8531971308654733,5.644150844212196,0.6091492310040376,ablation,01_ablation_horizontal
50,1.3420113866121441,2.63934784524251,0.8209500403467824,ablation,01_ablation_horizontal
27,1.6292452244103486,2.980795802084474,0.5084138389007538,ablation,01_ablation_horizontal
87,1.5451423950202687,2.6858937553854116,2.5550327358690397,ablation,01_ablation_horizontal
98,1.3369158449917498,2.933392737023956,0.4952677512185878,ablation,01_ablation_horizontal
28,1.6639945832554042,3.519546133355708,0.7529042350852385,ablation,01_ablation_horizontal
29,1.3793565817278448,2.536418286464102,0.54511179798801,ablation,01_ablation_horizontal
71,1.5515284633899835,3.554031580233854,6.824662620438599,ablation,01_ablation_horizontal
69,4.49550867954504,2.580935145482884,0.06376050784723974,ablation,01_ablation_horizontal
116,1.4699158777092425,2.1454077276687533,2.036695972328981,ablation,01_ablation_horizontal
24,1.3938428190944658,2.668519604443785,0.6996771615395843,ablation,01_ablation_horizontal
84,1.478314474609947,2.002077504698072,0.4157208301142687,ablation,01_ablation_horizontal
20,1.5737587056143998,3.1187295912983224,3.4231003100131465,ablation,01_ablation_horizontal
2,1.4027015880349747,2.9063169101852115,0.16400012027013025,ablation,01_ablation_horizontal
6,1.5586152110870852,3.613199194843177,1.873189644944865,ablation,01_ablation_horizontal
30,1.3786811050824788,3.3800218636667707,0.5246223560885375,ablation,01_ablation_horizontal
47,1.5299703769782411,2.9449923161575415,0.23048158096210536,ablation,01_ablation_horizontal
38,1.4444959564143562,5.248501130504112,0.7808079295495021,ablation,01_ablation_horizontal
74,1.5669244464322447,4.155970403279725,1.9180835256222823,ablation,01_ablation_horizontal
40,1.4564742323402338,3.9486404395782873,0.9150583365588068,ablation,01_ablation_horizontal
31,1.6934758060254373,2.6077758137479248,1.8510707327128144,ablation,01_ablation_horizontal
36,1.7255137146626687,5.074108002183921,0.049725745798470423,ablation,01_ablation_horizontal
83,1.7027850755020253,2.3810495564774596,0.06970071092084598,ablation,01_ablation_horizontal
5,1.7016444841428053,4.949709204550664,0.5445369173026088,ablation,01_ablation_horizontal
51,1.6124847531057536,4.744135296476401,1.0011376188120282,ablation,01_ablation_horizontal
34,1.2851600634115943,2.327337243373907,0.7914276664840764,ablation,01_ablation_horizontal
68,1.5575188173044983,2.581210904483544,0.11410966251559183,ablation,01_ablation_horizontal
72,1.5239873733455018,2.3531435708402597,0.39191273761220746,ablation,01_ablation_horizontal
25,1.5538239662121693,2.5244680672602104,0.24414079477831083,ablation,01_ablation_horizontal
85,1.8527964216399844,2.2099505718642507,28.993243332580338,ablation,01_ablation_horizontal
7,1.4754561355110245,6.429943338597816,0.1654434877348006,ablation,01_ablation_horizontal
59,1.4954731216339692,6.295997543573938,0.20987536978021298,ablation,01_ablation_horizontal
8,1.597132338678787,2.2269389074353207,1.0501011900509496,ablation,01_ablation_horizontal
4,1.6393158320236503,3.5341413959676093,0.631858178026609,ablation,01_ablation_horizontal
117,1.6518439096089843,3.2725793939006866,0.10022674330648394,ablation,01_ablation_horizontal
88,1.4813302135201547,4.2167318220934025,0.9626163279907846,ablation,01_ablation_horizontal
42,1.4106584611669202,2.1698653745170042,0.9756644145218075,ablation,01_ablation_horizontal
91,1.4112336013222697,5.639739331447792,0.3761423843863894,ablation,01_ablation_horizontal
33,1.4888206454060164,2.9797880570952047,1.817762229793279,ablation,01_ablation_horizontal
63,1.514711868733055,2.188320738204105,0.4870838243290998,ablation,01_ablation_horizontal
118,1.4583049219131567,2.8745546978676972,2.3424916721975806,ablation,01_ablation_horizontal
14,1.6739891322264704,3.8573398103814336,1.4856594225363304,ablation,01_ablation_horizontal
41,1.407326411956975,2.464748532343717,2.2063925008200926,ablation,01_ablation_horizontal
45,1.394348261998509,4.588949281521397,0.44343561045647867,ablation,01_ablation_horizontal
92,1.7405262548494491,5.051521248971669,5.059768575359259,ablation,01_ablation_horizontal
89,1.4907061758118114,2.6441421317829064,0.9120537208589998,ablation,01_ablation_horizontal
