id,mean_cc_gain,mean_cross_gain,mean_snr_power,zone,model
114,1.0346336217938128,1.1104526084576245,1.1526064743545528,ablation,14_julius_filter
46,1.0385733853235575,1.1540116287930842,0.9589416133346561,ablation,14_julius_filter
19,1.0233031676270876,1.1805949886715965,0.9466806495898241,ablation,14_julius_filter
37,1.0270370085647524,1.103122217250808,0.9555720557232742,ablation,14_julius_filter
65,1.0220455218681068,1.1100235740480897,0.9707606467847907,ablation,14_julius_filter
62,1.038812464869787,1.1728773935003782,0.924255651623474,ablation,14_julius_filter
97,1.037522314009205,1.0924748693854411,0.9307754431171152,ablation,14_julius_filter
0,1.0364484139402452,1.0723864747972578,1.0933459294500083,ablation,14_julius_filter
79,1.0287040869044979,1.0485327037663474,1.0530332050114184,ablation,14_julius_filter
12,1.0320462267155905,1.066031388120419,1.0314460799231226,ablation,14_julius_filter
99,1.028946363805792,1.112832069419101,1.0131664735487158,ablation,14_julius_filter
21,1.0263523895989013,1.0693996796833651,0.9759073952696495,ablation,14_julius_filter
112,1.03922660139404,1.1103397354253384,1.054533623868723,ablation,14_julius_filter
67,1.0507371987689664,1.2625031981670913,0.9274970532725376,ablation,14_julius_filter
113,1.02896276802601,1.1996525253635204,1.1243608897534791,ablation,14_julius_filter
55,1.037317541641181,1.1465073975088267,1.0013663217520075,ablation,14_julius_filter
49,1.0387222806994287,1.169500844757937,1.1285657639988127,ablation,14_julius_filter
77,1.0352640064193772,1.1009502876917647,1.0784267982951687,ablation,14_julius_filter
101,1.045019325585772,1.0897979307003773,0.8908942125927032,ablation,14_julius_filter
50,1.0238781683383575,1.089604776126211,0.9743470016126095,ablation,14_julius_filter
27,1.044505703497806,1.1401135368734647,0.9261856308621506,ablation,14_julius_filter
87,1.042155626799222,1.1258232821631957,0.7852838658889387,ablation,14_julius_filter
98,1.0429609401161084,1.4851776976988025,0.7629219357744946,ablation,14_julius_filter
28,1.0294262127726863,1.0781364703260878,1.057832422827785,ablation,14_julius_filter
29,1.038940546693291,1.3674380542562485,1.6170912220009106,ablation,14_julius_filter
71,1.060645718946438,1.2444553682060937,1.8510475534343793,ablation,14_julius_filter
69,1.1726389064861296,1.539497465491867,2.0192502372960206,ablation,14_julius_filter
116,1.0301616070193063,1.117490013903588,0.9408141249900575,ablation,14_julius_filter
24,1.0225108044728206,1.1565943423700857,1.0495056517723662,ablation,14_julius_filter
84,1.033453776958894,1.1612982478652534,1.4178155908707526,ablation,14_julius_filter
20,1.0391220656746896,1.4589430806892623,0.7831175572451675,ablation,14_julius_filter
2,1.0267755366652753,1.157670950211481,1.0602831197235898,ablation,14_julius_filter
6,1.0322857864211799,1.3045445419152466,0.9496898391017542,ablation,14_julius_filter
30,1.0292723699670419,1.0991785673687933,1.1048267422210993,ablation,14_julius_filter
47,1.019694933309863,1.2192409066027805,0.8514180090541229,ablation,14_julius_filter
38,1.0373211189471756,1.216690909684463,1.1718448906477572,ablation,14_julius_filter
74,1.0355749939053756,1.0410138490430796,1.0628639625805016,ablation,14_julius_filter
40,1.021850687057971,1.0642032242682462,1.1315561044055513,ablation,14_julius_filter
31,1.0271070769614883,1.2595874319322204,1.0077256045207308,ablation,14_julius_filter
36,1.0381069885739564,1.2648869580947233,0.9486045894666237,ablation,14_julius_filter
83,1.0335464543533228,1.1636271449825488,0.9687154538732052,ablation,14_julius_filter
5,1.029686713648052,1.0907175627674721,1.0543519348368882,ablation,14_julius_filter
51,1.0502367286594931,1.214463719023565,0.8970837417588641,ablation,14_julius_filter
34,1.0357621286035374,1.055854461544895,0.9437319038026072,ablation,14_julius_filter
68,1.033028354674291,1.0849274742246011,0.9941056151696669,ablation,14_julius_filter
72,1.0322285450046604,1.2595339738948228,1.111020604172113,ablation,14_julius_filter
25,1.1481382279864678,1.1793392790770703,1.4238101982598759,ablation,14_julius_filter
85,1.0388601873024261,1.1094616933803618,0.9918361081014577,ablation,14_julius_filter
7,1.0481829804355534,1.0844399906433666,1.0295572043717243,ablation,14_julius_filter
59,1.0453366854110149,1.1130577134378021,1.050284460944985,ablation,14_julius_filter
8,1.0444944947255255,1.148157372047562,1.0424596554891312,ablation,14_julius_filter
4,1.028959047272329,1.2376403144657844,0.9456078378588418,ablation,14_julius_filter
117,1.0339266413005936,1.0903497973682708,1.008111504582041,ablation,14_julius_filter
88,1.0245313700635392,1.1141265142920431,1.0567596369425643,ablation,14_julius_filter
42,1.0494448344885794,1.1094826523664472,0.9182552380763602,ablation,14_julius_filter
91,1.024097177210468,1.3616246947749402,1.1013993937301596,ablation,14_julius_filter
33,1.017708407094425,1.3427488745541087,1.3481547386496706,ablation,14_julius_filter
63,1.0348928055351077,1.1170087339679602,1.0865968580635916,ablation,14_julius_filter
118,1.0165015953749745,1.1631931565859808,0.9215238506474298,ablation,14_julius_filter
14,1.0320826366468832,1.1249359762673294,0.9044947337743836,ablation,14_julius_filter
41,1.0370776466718012,1.245162062308175,1.1159780013216436,ablation,14_julius_filter
45,1.0477772035100552,1.3504309346027494,1.1585430366992493,ablation,14_julius_filter
92,1.039853265217006,1.213018437531353,0.9998840181071394,ablation,14_julius_filter
89,1.0302460877741901,1.1989660199208545,1.0159522267084502,ablation,14_julius_filter
109,1.0259454184881516,1.0644638147789456,0.895070049852713,ablation,14_julius_filter
48,1.0245521394003554,1.077713589635949,1.0044746621503373,ablation,14_julius_filter
102,1.0475274276806927,1.4155368079235118,0.8582956481784232,ablation,14_julius_filter
56,1.0430757249470293,1.2819630150745043,1.0568668972995745,ablation,14_julius_filter
81,1.0446885102252055,1.0705337098281702,0.9622917697160887,ablation,14_julius_filter
11,1.0517160805833317,1.1081211111854905,0.9962678540223616,ablation,14_julius_filter
110,1.049844181306521,1.1519934246982901,1.1080340754714602,ablation,14_julius_filter
103,1.0313682587148076,1.2438885697154505,0.9602793101223754,ablation,14_julius_filter
115,1.03306737634061,1.0674200225083998,1.1551494278646377,ablation,14_julius_filter
60,1.038074682789056,1.087222937458595,0.8819405471156295,ablation,14_julius_filter
26,1.0267392785453306,1.1124165548277205,0.9585295816501122,ablation,14_julius_filter
93,1.0358722153600468,1.068267981540202,1.0697454135329185,ablation,14_julius_filter
17,1.022091548085506,1.0287359651049566,1.10828186107792,ablation,14_julius_filter
119,1.0407649678135016,1.246803019693271,1.8078129893319865,ablation,14_julius_filter
35,1.0506574009907887,1.1845162208805382,0.8310742686708347,ablation,14_julius_filter
52,1.0316239858948009,1.1314655306378831,0.9883243380628335,ablation,14_julius_filter
10,1.0300862874856995,1.1438103276664702,1.1064482959898105,ablation,14_julius_filter
57,1.0347056228983678,1.103204236713175,0.981382126974436,ablation,14_julius_filter
18,1.0279340577966434,1.0530294322166514,0.9694134917949988,ablation,14_julius_filter
106,1.0358008037593749,1.0984561495093723,1.0944531956798031,ablation,14_julius_filter
3,1.0223379196625137,1.170825099603178,1.161734618283925,ablation,14_julius_filter
105,1.0291171063924576,1.123090071408116,1.0329362945803886,ablation,14_julius_filter
32,1.0307411391950516,1.26487554880887,0.950655806850951,ablation,14_julius_filter
66,1.03358939042689,1.2602904125205434,1.1456187967437208,ablation,14_julius_filter
80,1.0387364764828955,1.122429368448385,1.0377992927423045,ablation,14_julius_filter
1,1.0351728856541427,1.1247559705675756,0.9917735747102957,ablation,14_julius_filter
82,1.0420028691718097,1.1825927063412023,0.9665264107112559,ablation,14_julius_filter
73,1.0323153351328154,1.1436006481383045,0.9238398516920316,ablation,14_julius_filter
44,1.0428770520935111,1.2475567824397111,1.575881073525801,ablation,14_julius_filter
76,1.049129112285786,1.09903975929622,0.7782939689692615,ablation,14_julius_filter
64,1.0262290302502504,1.255328670493143,0.9810296621131555,ablation,14_julius_filter
15,1.031529772111007,1.0719202080483907,0.9752989072587969,ablation,14_julius_filter
104,1.0269635400118138,1.2687719635339234,1.2630077461142024,ablation,14_julius_filter
13,1.0472781174142811,1.1223295918942835,0.9560161985361878,ablation,14_julius_filter
96,1.046100987067462,1.146866568853263,1.2268829303212943,ablation,14_julius_filter
70,1.0229946407591344,1.2827909524731183,0.9704659896158045,ablation,14_julius_filter
100,1.0374908624652415,1.1129760448127235,1.0159409840080929,ablation,14_julius_filter
107,1.0331600154455145,1.0444403570091263,0.8587893381170265,ablation,14_julius_filter
111,1.0388747126248579,1.05452219443018,0.9369554963095225,ablation,14_julius_filter
75,1.1551714502407904,1.2063124628887194,0.08345396706537166,ablation,14_julius_filter
9,1.0432329998386312,1.1638181927210982,0.87353436072335,ablation,14_julius_filter
43,1.0424533010773516,1.2354049378425207,1.1461424883851712,ablation,14_julius_filter
16,1.0506934320623693,1.098227936729195,0.8711232508760122,ablation,14_julius_filter
78,1.10710302899824,1.2876974562839343,1.383710573886542,ablation,14_julius_filter
54,1.0666592313685053,1.4102085011573433,1.40917133122168,ablation,14_julius_filter
39,1.040386155095312,1.1702671157042674,1.058249546906823,ablation,14_julius_filter
61,1.1115434915606028,1.2657147093994698,0.15805186227939744,ablation,14_julius_filter
22,1.0395249380487686,1.0759970768496978,0.9103709487771775,ablation,14_julius_filter
108,1.0270164210346082,1.1763287863267864,0.9821995213937444,ablation,14_julius_filter
86,1.0409828455830117,1.1028045051197455,0.9916332918523426,ablation,14_julius_filter
94,1.0561543213327913,1.1832043745994467,1.8030229133993538,ablation,14_julius_filter
90,1.0223678259671711,1.5501896244483184,0.9919178700143075,ablation,14_julius_filter
95,1.0297170438058967,1.3234368176521374,1.0916864412613156,ablation,14_julius_filter
58,1.029149436179554,1.1070190872785672,1.047077197704964,ablation,14_julius_filter
23,1.1272093896435194,1.3234116137317404,1.0242084568307537,ablation,14_julius_filter
53,1.029922776749832,1.0750537293234927,0.9766750770330667,ablation,14_julius_filter
65,1.0513682903562933,1.3444026362750092,1.065168875915961,accumulation,14_julius_filter
116,1.0407006883311563,1.1236166256851796,1.0372731470593113,accumulation,14_julius_filter
118,1.0417619898555839,1.1212660766463631,0.9973716273870482,accumulation,14_julius_filter
48,1.034102180481458,1.0600730556887121,0.8029470493096904,accumulation,14_julius_filter
111,1.0340648325891,1.295696654978584,1.0320614898985574,accumulation,14_julius_filter
93,1.063727137857012,1.101939731357008,1.1264839702028158,accumulation,14_julius_filter
